Year,Personal income,Wages and salaries,Compensation of employees,Supplements to wages and salaries,Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,Personal interest income,Personal dividend income,Personal current transfer receipts,Government social benefits to persons,Social security,Medicare,Medicaid,Unemployment insurance,Personal current taxes,Disposable personal income,Personal consumption expenditures,Personal saving,Personal saving as a percentage of disposable personal income,Gross domestic product,Personal consumption expenditures,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Government consumption expenditures and gross investment
1966,"620,339","400,321","449,249","48,928","67,933","19,910","54,296","20,670","39,617","37,504","19,786","1,008","1,881","1,913","66,378","553,961","479,919","61,861",11,"813,414","479,919","71,745","177,874","10,723","144,188","130,552","185,444"
1967,"665,723","429,009","481,790","52,781","69,475","20,345","59,456","21,510","48,014","45,752","21,122","4,699","2,720","2,237","72,961","592,762","506,685","72,994",12,"859,959","506,685","73,981","185,009","12,151","142,700","132,834","207,018"
1968,"730,915","471,972","530,751","58,779","73,832","20,096","65,302","23,535","56,094","53,306","24,598","5,890","3,997","2,207","86,987","643,928","556,852","72,927",11,"940,651","556,852","84,828","199,788","12,610","156,923","147,871","225,526"
1969,"800,336","518,333","584,458","66,125","77,005","20,348","76,109","24,239","62,304","58,973","26,382","6,695","4,551","2,327","104,506","695,830","603,639","76,057",11,"1,017,615","603,639","90,483","214,195","13,678","173,562","164,389","238,984"
1970,"865,045","551,560","623,347","71,787","77,803","20,664","90,621","24,307","74,663","71,737","31,380","7,254","5,455","4,186","103,070","761,975","646,724","97,588",13,"1,073,303","646,724","89,988","228,806","14,905","170,049","168,048","252,581"
1971,"932,785","584,549","664,995","80,446","83,904","21,828","100,099","25,027","88,108","85,412","36,617","8,049","6,744","6,160","101,705","831,080","699,937","111,926",14,"1,164,850","699,937","102,446","239,670","15,792","196,824","188,569","267,468"
1972,"1,024,456","638,785","731,333","92,548","95,094","22,719","109,758","26,836","97,920","94,808","40,948","8,836","8,211","6,033","123,640","900,816","768,153","111,526",12,"1,279,110","768,153","116,444","257,371","17,282","228,140","219,034","286,189"
1973,"1,140,780","708,762","812,683","103,921","112,521","23,117","125,508","29,880","112,568","108,628","50,665","10,244","9,611","4,570","132,407","1,008,373","849,575","135,813",14,"1,425,376","849,575","130,527","286,108","19,316","266,925","251,048","304,765"
1974,"1,251,819","772,282","887,715","115,433","112,213","23,181","147,410","33,187","133,294","128,556","57,607","12,726","11,176","7,021","151,048","1,100,771","930,161","146,280",13,"1,545,243","930,161","130,177","321,361","22,945","274,526","260,536","341,370"
1975,"1,369,389","814,838","947,230","132,392","118,238","22,292","168,038","32,922","169,978","163,134","65,895","15,633","13,863","18,140","147,607","1,221,782","1,030,547","164,029",13,"1,684,904","1,030,547","142,165","349,170","23,730","257,253","263,509","381,128"
