IDSCHOOL,IP13D_prnt_sup,IP21_remote_prep,IP34_locale_size,IP34A_public,IP1G35C_prop_disadvan,IP03_tech
1001,2,3,2,1,1,2
1002,3,4,3,1,3,2
1003,2,4,1,1,1,2
1004,3,4,3,1,3,2
1005,3,4,1,1,1,2
1006,2,4,1,1,1,2
1007,2,4,2,1,1,2
1008,3,4,3,1,1,2
1009,2,4,4,1,1,2
1010,3,4,5,1,1,2
1011,2,3,3,1,4,2
1012,3,2,5,1,1,2
1013,2,4,3,1,2,2
1015,3,4,2,1,1,2
1016,3,4,1,1,1,1
1017,2,4,2,1,2,2
1018,3,4,4,1,3,2
1019,3,4,2,1,1,2
1020,3,4,3,1,2,2
1021,2,2,2,1,1,2
1022,2,4,4,1,3,2
1023,2,4,2,1,4,2
1024,2,4,2,1,1,2
1025,3,4,2,1,2,1
1026,2,3,3,1,1,2
1027,2,4,3,1,1,2
1028,2,3,3,1,1,1
1029,3,3,2,1,4,2
1030,3,4,3,1,1,2
1031,1,3,4,0,1,1
1032,3,3,3,0,5,2
1033,2,3,3,0,4,2
1034,1,4,4,0,1,2
1035,2,3,3,0,2,2
1036,3,4,4,0,2,2
1037,2,4,4,0,1,2
1038,2,3,4,0,1,0
1039,2,4,3,0,2,2
1040,1,3,1,0,1,2
1041,3,4,5,0,1,2
1042,3,4,4,0,1,2
1043,2,4,4,0,1,1
1044,3,4,4,0,1,2
1046,2,4,5,0,1,2
1047,2,4,5,0,1,2
1048,2,4,5,0,1,1
1049,3,3,2,0,1,1
1050,3,4,5,0,1,1
1051,2,4,4,0,1,0
1052,3,4,5,0,2,2
1053,3,4,4,0,1,1
1054,3,4,5,0,1,1
1055,2,4,4,0,1,1
1056,2,3,4,0,5,1
1058,2,4,4,0,3,1
1059,2,3,4,0,1,1
1060,2,4,5,0,1,0
1061,3,3,4,0,2,2
1062,2,3,4,0,1,2
1063,3,4,5,0,4,1
1064,3,4,4,0,1,2
1065,2,4,4,0,1,2
1066,3,4,5,0,2,0
1067,3,4,,0,,2
1068,3,4,5,0,1,2
1069,2,3,4,0,2,2
1070,3,3,1,0,1,2
1071,3,4,4,0,5,1
1072,3,3,5,0,3,2
1073,2,3,3,1,3,2
1075,2,4,1,1,2,2
1076,2,3,1,1,2,2
1078,2,4,5,1,2,2
1079,2,4,5,1,3,2
1080,3,4,2,1,2,2
1082,3,4,3,0,1,1
1083,3,4,5,0,1,2
1084,3,4,5,0,4,1
1085,,4,5,0,5,1
1086,3,3,1,0,3,1
1087,3,4,5,0,3,2
1088,3,4,5,0,2,2
1089,3,4,5,0,1,1
1090,2,4,5,0,1,0
1091,2,3,5,0,3,2
1093,2,4,5,0,1,1
1095,3,3,5,0,1,1
1096,2,4,5,0,2,1
1097,3,4,5,0,1,1
1098,,3,4,0,3,0
1099,2,4,5,0,4,0
1100,2,3,5,0,1,1
1101,,,,,,0
1102,3,4,5,0,2,0
1104,2,4,5,0,1,1
1106,2,4,5,0,2,1
1107,2,4,5,0,1,1
1110,2,4,4,0,5,2
1111,3,4,5,0,1,2
1112,2,3,5,0,3,0
1113,2,4,5,0,1,1
1115,2,4,5,0,1,2
1117,3,4,5,0,1,1
1118,3,4,1,0,4,1
1119,2,4,2,0,1,1
1120,3,4,5,0,1,2
1121,2,4,5,0,1,1
1123,3,4,5,0,2,2
1124,2,3,5,0,1,2
1125,3,4,4,1,2,1
1126,3,4,1,1,1,1
1127,3,4,1,1,2,2
1130,2,3,3,1,3,2
1132,3,4,5,1,1,2
1133,3,3,3,1,2,2
1134,2,4,2,1,1,2
1136,3,4,2,1,1,2
1137,3,4,3,1,1,2
1138,3,4,2,1,1,2
1140,3,4,1,1,1,2
1141,3,4,4,1,1,2
1142,2,4,4,1,1,2
1143,3,,,,,1
1144,3,4,2,1,1,2
1145,3,3,2,1,1,2
1146,3,4,1,1,1,2
1147,3,3,2,1,1,2
1148,2,4,2,1,1,2
1149,3,4,1,1,1,2
1150,3,4,1,1,1,2
1151,2,4,2,0,2,1
1152,2,4,2,0,1,2
1153,2,4,3,0,,1
1154,3,3,3,0,5,2
1155,2,4,5,0,4,2
1156,2,3,5,0,1,1
1157,3,4,4,0,3,2
1158,3,3,3,0,4,1
1159,3,4,4,0,1,2
1160,,,,,,2
1161,2,4,3,0,5,1
1162,2,3,5,0,5,2
1163,3,4,5,0,1,2
1164,2,4,2,0,2,1
1165,3,4,5,0,1,2
1166,2,4,5,0,2,1
1167,3,4,5,0,1,2
1168,1,4,5,0,1,1
1169,2,4,5,0,1,1
1171,3,4,4,0,1,0
1172,3,4,3,0,1,1
1174,2,4,2,0,1,1
1175,2,3,5,0,1,1
1177,3,3,4,0,1,0
1179,3,4,4,0,1,0
1180,3,4,3,0,1,2
1181,2,4,5,0,4,1
1183,3,4,4,0,1,0
1185,3,4,4,0,2,1
1186,3,3,4,0,1,0
1187,3,4,4,0,2,1
1188,3,4,3,0,3,1
1190,2,3,4,0,2,0
1191,3,3,3,0,2,2
1192,2,4,4,0,2,2
1194,3,4,5,0,1,2
1195,3,3,5,0,1,0
1196,3,4,2,0,1,0
1197,2,3,1,0,2,1
1198,3,3,3,0,1,0
1199,2,3,3,0,5,2
1200,3,4,2,0,1,1
