IDSTUD,IDSCHOOL,TOTWGTS,IS18C_plan_capacity,ASDAGE,SEX_female,IS34_lang,prnt_ed_M,IS17G_miss_meals,IS01_prop_sch_time,IS09_comm_modes,IS21_teach_sup,IS18E_adult_help,IS14A,IS14C,IS14K,IS17A,IS17C,IS17E,IS25A,IS25B,IS25C,IS25D,IS25E,IS25F,IS25G,IS25H,IS25J
10010101,1001,27.81025641025641,2,13,0,1,,3,1,2,,2,3,2,,4,2,1,,,,,,,,,
10010102,1001,27.81025641025641,3,12.67,0,1,3,2,1,0,2.5,3,1,3,3,4,1,4,3,2,2,3,3,2,3,3,3
10010103,1001,27.81025641025641,1,13.42,0,1,,1,5,2,,2,3,3,,4,4,3,,,,,,,,,
10010104,1001,27.81025641025641,2,13.83,0,1,3.5,2,1,4,3,3,2,2,3,3,3,1,3,2,3,3,3,3,3,4,2
10010106,1001,27.81025641025641,2,13.42,0,1,4,1,1,3,3,3,3,2,1,4,2,1,2,2,2,3,2,1,3,3,2
10010107,1001,27.81025641025641,3,13.42,0,1,3,1,1,2,2.5,3,3,3,1,2,1,1,3,1,3,2,3,3,2,4,3
10010108,1001,27.81025641025641,1,13.25,0,1,2.5,2,1,3,2.75,,2,2,3,1,1,1,2,2,2,2,3,3,3,3,2
10010109,1001,27.81025641025641,2,13.83,0,1,3.5,1,1,3,3,3,2,3,3,4,2,2,2,1,2,3,3,2,3,4,2
10010110,1001,27.81025641025641,,13.83,0,1,,,1,4,,,,,,,,,,,,,,,,,
10010111,1001,27.81025641025641,3,12.17,0,1,4,3,1,4,3.25,3,3,3,4,3,3,3,4,4,3,3,3,4,4,4,3
10010112,1001,27.81025641025641,2,13,0,1,3,1,,,3,3,3,3,2,2,2,2,3,3,3,3,2,3,2,3,2
10010117,1001,27.81025641025641,3,12,0,1,2,1,1,1,2.5,3,3,1,4,2,3,2,4,1,3,4,4,4,4,4,3
10010118,1001,27.81025641025641,2,13.33,0,1,4,2,,3,2.75,2,2,3,2,4,4,4,4,4,4,3,4,2,2,4,3
10010119,1001,27.81025641025641,1,13.5,0,1,3.5,2,1,2,2.5,2,4,2,4,3,1,1,1,1,1,,4,3,3,1,2
10010120,1001,27.81025641025641,1,12.08,0,1,3,1,1,3,3.25,3,3,2,2,4,3,1,1,1,1,3,3,2,3,2,3
10030101,1003,35.613972,2,13.33,0,1,5,2,1,2,2.5,2,2,4,2,4,3,1,2,3,3,2,2,2,2,4,2
10030102,1003,35.613972,2,13.08,0,1,4,1,1,2,3.5,2,2,4,3,4,2,1,1,1,1,3,3,2,2,1,1
10030103,1003,35.613972,2,13.5,0,1,5,1,1,4,2.75,2,2,3,2,4,1,1,3,2,3,2,2,2,2,2,2
10030104,1003,35.613972,3,13.17,0,1,3,2,1,4,2.75,2,4,4,4,2,2,3,4,4,4,4,3,3,,4,4
10030105,1003,35.613972,,13.92,0,1,3,2,1,3,2.75,,3,2,3,2,3,,3,3,,4,4,4,3,3,3
10030107,1003,35.613972,,13.42,0,1,,,1,4,,,,,,,,,,,,,,,,,
10030111,1003,35.613972,1,13.33,0,1,,2,,3,3.6666667,2,3,3,,2,2,2,,,,,,,,,
10030118,1003,35.613972,1,13.42,0,1,1.5,1,1,1,2.75,1,3,2,4,3,2,3,3,2,2,3,3,3,3,2,3
10030119,1003,35.613972,3,13.83,0,1,2.5,1,1,2,3.25,3,2,2,2,3,2,1,3,2,3,2,2,2,2,3,2
10030120,1003,35.613972,3,13.67,0,1,3,1,1,2,4,2,,3,1,4,1,1,4,3,3,1,1,1,1,4,1
10040101,1004,29.84049121301776,1,13.75,0,1,3.5,1,1,2,4,3,4,1,4,4,1,3,4,4,3,1,2,2,2,3,4
10040103,1004,29.84049121301776,3,13.5,0,1,3,1,1,1,3.25,2,1,3,2,3,1,1,2,2,1,3,2,2,2,1,1
10040104,1004,29.84049121301776,2,13.83,0,1,3,3,1,2,2.5,3,3,2,2,2,3,2,4,3,3,3,3,3,3,3,3
10040105,1004,29.84049121301776,2,12.17,0,1,3.5,1,1,2,2.75,2,3,3,3,4,1,1,2,3,2,4,3,2,2,2,2
10040107,1004,29.84049121301776,2,13.75,0,1,3,1,1,2,2.5,3,3,2,3,3,1,2,3,2,2,2,3,3,3,3,2
10040110,1004,29.84049121301776,3,13.25,0,1,1.5,1,1,3,3,3,3,4,3,3,3,2,3,2,2,2,2,2,2,2,2
10040112,1004,29.84049121301776,3,13.75,0,1,2.5,1,1,2,3.5,2,2,4,4,3,2,1,2,1,2,1,1,,3,4,1
10040113,1004,29.84049121301776,2,12,0,1,3,1,1,1,2.75,2,2,3,2,4,1,4,3,3,3,3,3,3,2,2,3
10040115,1004,29.84049121301776,3,13.58,0,1,2,1,1,2,2.75,3,3,2,3,3,1,1,2,2,2,2,3,2,2,3,2
10040117,1004,29.84049121301776,2,13.42,0,1,5,2,5,4,3.5,3,2,3,2,4,1,1,3,3,3,3,3,3,3,4,1
10040118,1004,29.84049121301776,,13.58,0,1,3,,1,,4,,,,,,,,4,4,4,2,2,2,2,,
10040119,1004,29.84049121301776,2,12.17,0,1,3,1,1,4,3.25,3,3,2,2,3,,2,2,2,2,3,3,2,3,3,2
10040120,1004,29.84049121301776,2,13.25,0,1,1,1,1,1,3,2,2,3,2,4,1,1,3,3,3,2,2,2,2,2,2
10050101,1005,20.21267029230769,,13.17,1,1,,,1,3,,,,,,,,,,,,,,,,,
10050102,1005,20.21267029230769,3,13.33,1,1,3,4,2,2,3.25,1,3,3,2,4,2,2,3,3,3,2,2,3,2,4,3
10050103,1005,20.21267029230769,,12.83,1,1,,,1,2,,,,,,,,,,,,,,,,,
10050105,1005,20.21267029230769,,13.67,1,1,,,5,0,,,1,3,,,,,,,,,,,,,
10050106,1005,20.21267029230769,3,13,1,1,3,2,1,1,2.5,3,3,3,4,4,3,1,3,3,,3,2,3,1,2,3
10050107,1005,20.21267029230769,,14.42,1,1,,,1,4,,,2,3,,,,,,,,,,,,,
10050108,1005,20.21267029230769,,13.33,1,1,,,1,,,,,,,,,,,,,,,,,,
10050109,1005,20.21267029230769,,12.17,1,1,3,3,1,2,2.25,2,2,2,4,2,2,2,2,3,4,3,4,3,4,3,3
10050111,1005,20.21267029230769,1,13.67,1,1,1.5,1,1,2,2.5,2,3,3,2,4,2,4,3,2,2,2,2,2,2,3,2
10050113,1005,20.21267029230769,,12.92,1,1,,,1,,,,,,,,,,,,,,,,,,
10050114,1005,20.21267029230769,1,13,1,1,,2,1,1,2.5,3,2,2,3,2,2,2,3,2,2,2,3,3,2,4,2
10050115,1005,20.21267029230769,,13.92,1,1,,,5,,,,,,,,,,,,,,,,,,
10050118,1005,20.21267029230769,,13.08,1,1,,,1,1,,,,,,,,,,,,,,,,,
10050119,1005,20.21267029230769,3,12.83,1,1,,1,1,3,3,2,1,4,,4,1,1,,,,,,,,,
10050120,1005,20.21267029230769,3,13,1,1,3,1,5,,2.5,1,,,2,1,1,1,1,1,4,1,1,1,1,4,1
10060101,1006,26.36156884615385,3,13.5,1,1,4,1,1,2,3,1,1,4,3,4,2,1,2,,3,3,4,3,1,4,3
10060102,1006,26.36156884615385,3,13.42,1,1,3,2,1,1,2.25,3,3,2,4,2,3,4,3,2,2,4,4,3,4,4,3
10060103,1006,26.36156884615385,2,13.42,1,1,3,2,1,2,2.75,3,3,1,3,4,2,1,4,1,4,2,1,1,3,3,2
10060106,1006,26.36156884615385,3,13.5,1,1,2.5,2,1,3,3,2,3,3,2,2,4,1,3,2,2,3,3,2,3,4,2
10060108,1006,26.36156884615385,1,12.92,1,1,3,1,1,1,2.5,2,4,2,4,2,4,2,2,2,2,2,3,3,3,4,3
10060111,1006,26.36156884615385,3,13.08,1,1,4,1,5,3,3,2,2,3,4,4,1,1,3,3,3,3,3,3,3,2,3
10060112,1006,26.36156884615385,1,13.58,1,1,4.5,4,1,1,2.75,3,2,2,4,1,1,2,1,1,2,4,4,3,4,4,4
10060113,1006,26.36156884615385,2,13.25,1,1,3,2,3,4,3,2,,,4,3,1,1,2,2,4,2,4,4,4,4,4
10060114,1006,26.36156884615385,3,12.83,1,1,2,2,1,1,3.6666667,2,2,2,1,4,1,3,3,1,3,1,2,2,4,4,1
10060115,1006,26.36156884615385,1,13.25,1,1,3.5,1,1,2,2.5,2,4,2,4,1,3,3,4,2,2,4,4,4,4,4,4
10060116,1006,26.36156884615385,1,12.67,1,1,2,1,1,1,3.25,3,1,3,3,3,2,1,3,3,4,2,2,2,2,4,2
10060117,1006,26.36156884615385,3,13.67,1,1,3.5,1,1,0,1,1,2,3,4,1,1,1,4,3,2,4,4,3,2,1,4
10060118,1006,26.36156884615385,2,12.92,1,1,5,1,1,0,3.25,2,3,3,3,1,2,1,3,2,2,4,3,3,3,3,4
10060119,1006,26.36156884615385,2,13.83,1,1,3.5,1,1,1,2.75,2,2,3,2,4,1,1,3,2,3,2,2,2,3,2,2
10060120,1006,26.36156884615385,2,14.58,1,1,5,1,1,0,2.5,2,2,3,2,4,1,1,1,2,3,3,3,3,2,,3
10070101,1007,27.12283384807693,2,13.17,1,1,4,1,1,4,3.25,3,1,3,1,2,1,1,4,3,3,3,4,4,2,4,2
10070102,1007,27.12283384807693,3,12.08,1,1,3.5,2,1,2,3.5,2,2,3,3,1,4,4,4,4,4,3,2,4,4,4,4
10070103,1007,27.12283384807693,3,13.33,1,1,5,2,1,1,3,2,2,2,3,2,2,2,1,1,1,1,2,2,2,3,2
10070104,1007,27.12283384807693,2,13.42,1,1,3,2,4,3,3.25,2,2,2,4,2,4,3,4,4,4,3,4,3,4,4,4
10070105,1007,27.12283384807693,2,13.83,1,1,5,1,1,1,1.25,2,4,2,3,2,1,1,,,,,,,,,
10070106,1007,27.12283384807693,2,13.33,1,1,3,1,1,3,2.75,1,3,,2,1,1,2,4,3,2,3,4,3,1,4,2
10070107,1007,27.12283384807693,,12.83,1,1,3,,1,0,2.5,,,,1,,,,4,4,4,2,,,2,2,2
10070108,1007,27.12283384807693,3,13.5,1,1,3,4,1,2,3.5,2,1,3,3,4,3,1,2,3,2,3,3,2,2,3,3
10070109,1007,27.12283384807693,2,13.5,1,1,3,2,5,2,2.5,2,2,3,3,4,2,3,3,2,3,3,2,2,2,3,3
10070110,1007,27.12283384807693,1,13.25,1,1,4.5,2,1,1,3.25,2,3,1,4,3,,2,4,4,4,4,4,4,4,4,4
10070111,1007,27.12283384807693,3,13.67,1,1,3,3,1,3,2.75,2,3,1,3,1,2,2,1,1,2,3,3,3,3,3,2
10070112,1007,27.12283384807693,2,13.25,1,1,3,1,1,1,2.5,3,3,2,2,1,2,1,2,2,2,2,3,3,3,2,2
10070113,1007,27.12283384807693,2,13.5,1,1,3,1,1,1,3,2,3,3,2,4,1,1,3,2,3,2,2,2,2,,2
10070114,1007,27.12283384807693,2,13.83,1,1,3,1,,,3,2,,,1,4,1,1,4,4,4,1,1,1,1,4,1
