IDSTUD,IDSCHOOL,TOTWGTS,IS18C_plan_capacity,ASDAGE,SEX_female,IS34_lang,prnt_ed_M,IS17G_miss_meals,IS01_prop_sch_time,IS09_comm_modes,IS21_teach_sup,IS18E_adult_help,IS14A,IS14C,IS14K,IS17A,IS17C,IS17E,IS25A,IS25B,IS25C,IS25D,IS25E,IS25F,IS25G,IS25H,IS25J,IT05F_indiv,IT06D_indep,IP13D_prnt_sup,IP21_remote_prep,IP34_locale_size,IP34A_public,IP1G35C_prop_disadvan,IP03_tech
10010101,1001,27.81025641025641,2.0,13.0,0,1,,3.0,1.0,2.0,,2.0,3.0,2.0,,4.0,2.0,1.0,,,,,,,,,,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
10010102,1001,27.81025641025641,3.0,12.67,0,1,3.0,2.0,1.0,0.0,2.5,3.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
10010103,1001,27.81025641025641,1.0,13.42,0,1,,1.0,5.0,2.0,,2.0,3.0,3.0,,4.0,4.0,3.0,,,,,,,,,,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
10010104,1001,27.81025641025641,2.0,13.83,0,1,3.5,2.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
10010106,1001,27.81025641025641,2.0,13.42,0,1,4.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
10010107,1001,27.81025641025641,3.0,13.42,0,1,3.0,1.0,1.0,2.0,2.5,3.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
10010108,1001,27.81025641025641,1.0,13.25,0,1,2.5,2.0,1.0,3.0,2.75,,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
10010109,1001,27.81025641025641,2.0,13.83,0,1,3.5,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
10010110,1001,27.81025641025641,,13.83,0,1,,,1.0,4.0,,,,,,,,,,,,,,,,,,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
10010111,1001,27.81025641025641,3.0,12.17,0,1,4.0,3.0,1.0,4.0,3.25,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
10010112,1001,27.81025641025641,2.0,13.0,0,1,3.0,1.0,,,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
10010117,1001,27.81025641025641,3.0,12.0,0,1,2.0,1.0,1.0,1.0,2.5,3.0,3.0,1.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.55,3.2,2.0,3.0,2.0,1.0,1.0,2
